,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,income_cat,bedrooms_per_room
0,-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,NEAR BAY,5,0.14659090909090908
1,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,NEAR BAY,5,0.15579659106916466
2,-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,NEAR BAY,5,0.12951601908657123
3,-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,NEAR BAY,4,0.18445839874411302
4,-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,NEAR BAY,3,0.1720958819913952
5,-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,NEAR BAY,3,0.23177366702937977
6,-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,NEAR BAY,3,0.19289940828402366
7,-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,NEAR BAY,3,0.22132731958762886
8,-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,NEAR BAY,2,0.2602739726027397
9,-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,NEAR BAY,3,0.1992110453648915
10,-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,NEAR BAY,3,0.19709355131698456
11,-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,NEAR BAY,3,0.2146731373108764
12,-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,NEAR BAY,3,0.1902850260939382
13,-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,NEAR BAY,2,0.2744252873563218
14,-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,NEAR BAY,2,0.23685206205069997
15,-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,NEAR BAY,2,0.2526785714285714
16,-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,NEAR BAY,2,0.17650050864699898
17,-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,NEAR BAY,2,0.23859934853420195
18,-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,NEAR BAY,2,0.20321572130415363
19,-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,NEAR BAY,2,0.19827012641383898
20,-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,NEAR BAY,1,0.24500665778961384
21,-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,NEAR BAY,2,0.2239170225747407
22,-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,NEAR BAY,2,0.22208538587848933
23,-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,NEAR BAY,2,0.19964454976303317
24,-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,NEAR BAY,2,0.19649280575539568
25,-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,NEAR BAY,2,0.22990654205607478
26,-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,NEAR BAY,2,0.215929203539823
27,-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,NEAR BAY,2,0.22181243414120128
28,-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,NEAR BAY,2,0.23631123919308358
29,-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,NEAR BAY,2,0.2194787379972565
30,-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,NEAR BAY,2,0.23329853862212943
31,-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,NEAR BAY,2,0.22340919647004182
32,-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,NEAR BAY,2,0.21279916753381894
33,-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,NEAR BAY,1,0.22114803625377644
34,-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,NEAR BAY,2,0.2153846153846154
35,-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,NEAR BAY,1,0.23209876543209876
36,-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,NEAR BAY,1,0.24026696329254726
37,-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,NEAR BAY,1,0.25810721376571805
38,-122.26,37.83,52.0,1470.0,330.0,689.0,309.0,3.48,NEAR BAY,3,0.22448979591836735
39,-122.26,37.83,52.0,2432.0,715.0,1377.0,696.0,2.5898,NEAR BAY,2,0.29399671052631576
40,-122.26,37.83,52.0,1665.0,419.0,946.0,395.0,2.0978,NEAR BAY,2,0.25165165165165165
41,-122.26,37.83,51.0,936.0,311.0,517.0,249.0,1.2852,NEAR BAY,1,0.33226495726495725
42,-122.26,37.84,49.0,713.0,202.0,462.0,189.0,1.025,NEAR BAY,1,0.28330995792426367
43,-122.26,37.84,52.0,950.0,202.0,467.0,198.0,3.9643,NEAR BAY,3,0.21263157894736842
44,-122.26,37.83,52.0,1443.0,311.0,660.0,292.0,3.0125,NEAR BAY,3,0.21552321552321552
45,-122.26,37.83,52.0,1656.0,420.0,718.0,382.0,2.6768,NEAR BAY,2,0.2536231884057971
46,-122.26,37.83,50.0,1125.0,322.0,616.0,304.0,2.026,NEAR BAY,2,0.2862222222222222
47,-122.27,37.82,43.0,1007.0,312.0,558.0,253.0,1.7348,NEAR BAY,2,0.3098311817279047
48,-122.26,37.82,40.0,624.0,195.0,423.0,160.0,0.9506,NEAR BAY,1,0.3125
49,-122.27,37.82,40.0,946.0,375.0,700.0,352.0,1.775,NEAR BAY,2,0.3964059196617336
50,-122.27,37.82,21.0,896.0,453.0,735.0,438.0,0.9218,NEAR BAY,1,0.5055803571428571
51,-122.27,37.82,43.0,1868.0,456.0,1061.0,407.0,1.5045,NEAR BAY,2,0.24411134903640258
52,-122.27,37.82,41.0,3221.0,853.0,1959.0,720.0,1.1108,NEAR BAY,1,0.26482458863706926
53,-122.27,37.82,52.0,1630.0,456.0,1162.0,400.0,1.2475,NEAR BAY,1,0.27975460122699386
54,-122.28,37.82,52.0,1170.0,235.0,701.0,233.0,1.6098,NEAR BAY,2,0.20085470085470086
55,-122.28,37.82,52.0,945.0,243.0,576.0,220.0,1.4113,NEAR BAY,1,0.2571428571428571
56,-122.28,37.82,52.0,1238.0,288.0,622.0,259.0,1.5057,NEAR BAY,2,0.23263327948303716
57,-122.28,37.82,52.0,1489.0,335.0,728.0,244.0,0.8172,NEAR BAY,1,0.22498321020819342
58,-122.28,37.82,52.0,1387.0,341.0,1074.0,304.0,1.2171,NEAR BAY,1,0.24585436193222782
59,-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,NEAR BAY,2,0.2721518987341772
60,-122.29,37.83,52.0,1121.0,211.0,554.0,187.0,3.3929,NEAR BAY,3,0.18822479928635147
61,-122.29,37.82,49.0,135.0,29.0,86.0,23.0,6.1183,NEAR BAY,5,0.21481481481481482
62,-122.29,37.81,50.0,760.0,190.0,377.0,122.0,0.9011,NEAR BAY,1,0.25
63,-122.3,37.81,52.0,1224.0,237.0,521.0,159.0,1.191,NEAR BAY,1,0.19362745098039216
64,-122.3,37.81,48.0,828.0,182.0,392.0,133.0,2.5938,NEAR BAY,2,0.21980676328502416
65,-122.3,37.81,52.0,1010.0,209.0,604.0,187.0,1.1667,NEAR BAY,1,0.20693069306930692
66,-122.3,37.81,48.0,1455.0,354.0,788.0,332.0,0.8056,NEAR BAY,1,0.24329896907216494
67,-122.29,37.8,52.0,1027.0,244.0,492.0,147.0,2.6094,NEAR BAY,2,0.23758519961051608
68,-122.3,37.81,52.0,572.0,109.0,274.0,82.0,1.8516,NEAR BAY,2,0.19055944055944055
69,-122.29,37.81,46.0,2801.0,644.0,1823.0,611.0,0.9802,NEAR BAY,1,0.22991788646911818
70,-122.29,37.81,26.0,768.0,152.0,392.0,127.0,1.7719,NEAR BAY,2,0.19791666666666666
71,-122.29,37.81,46.0,935.0,297.0,582.0,277.0,0.7286,NEAR BAY,1,0.3176470588235294
72,-122.29,37.81,49.0,844.0,204.0,560.0,152.0,1.75,NEAR BAY,2,0.24170616113744076
73,-122.29,37.81,46.0,12.0,4.0,18.0,7.0,0.4999,NEAR BAY,1,0.3333333333333333
74,-122.29,37.81,20.0,835.0,161.0,290.0,133.0,2.483,NEAR BAY,2,0.19281437125748502
75,-122.28,37.81,17.0,1237.0,462.0,762.0,439.0,0.9241,NEAR BAY,1,0.3734842360549717
76,-122.28,37.81,36.0,2914.0,562.0,1236.0,509.0,2.4464,NEAR BAY,2,0.1928620452985587
77,-122.28,37.81,19.0,1207.0,243.0,721.0,207.0,1.1111,NEAR BAY,1,0.20132560066280034
78,-122.29,37.81,23.0,1745.0,374.0,1054.0,325.0,0.8026,NEAR BAY,1,0.21432664756446992
79,-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,NEAR BAY,2,0.2573099415204678
80,-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,NEAR BAY,1,0.31277056277056275
81,-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,NEAR BAY,1,0.26666666666666666
82,-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,NEAR BAY,2,0.2852941176470588
83,-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,NEAR BAY,1,0.42487046632124353
84,-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088,NEAR BAY,2,0.1940928270042194
85,-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083,NEAR BAY,2,0.18499353169469598
86,-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,NEAR BAY,1,0.5125
87,-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,NEAR BAY,1,0.3977142857142857
