,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,bedrooms_per_room
3061,-119.29,35.76,15.0,3938.0,789.0,3500.0,768.0,2.1295,INLAND,0.20035551041137634
4123,-118.22,34.14,50.0,3657.0,708.0,1725.0,644.0,5.5456,<1H OCEAN,0.19360131255127153
7979,-118.17,33.87,49.0,1937.0,445.0,1339.0,440.0,3.0319,<1H OCEAN,0.22973670624677336
20383,-118.95,34.19,24.0,2719.0,434.0,1318.0,424.0,4.675,<1H OCEAN,0.15961750643618977
373,-122.16,37.75,44.0,617.0,131.0,378.0,135.0,2.5568,NEAR BAY,0.21231766612641814
2398,-118.91,36.79,19.0,1616.0,324.0,187.0,80.0,3.7857,INLAND,0.2004950495049505
19501,-121.03,37.66,31.0,887.0,217.0,614.0,199.0,2.1528,INLAND,0.24464487034949267
7371,-118.22,33.97,47.0,1147.0,297.0,1097.0,307.0,2.6384,<1H OCEAN,0.25893635571054924
16620,-120.94,35.42,18.0,3418.0,686.0,970.0,453.0,3.7738,NEAR OCEAN,0.20070216500877705
9956,-122.21,38.41,12.0,4270.0,654.0,1624.0,598.0,5.5266,INLAND,0.1531615925058548
888,-121.94,37.56,15.0,5674.0,748.0,2412.0,714.0,8.3996,<1H OCEAN,0.13182939725061685
18196,-122.01,37.39,36.0,1976.0,361.0,1348.0,371.0,5.6447,<1H OCEAN,0.18269230769230768
9860,-121.86,36.6,21.0,3634.0,1011.0,1985.0,917.0,2.9085,<1H OCEAN,0.2782058337919648
12675,-121.39,38.51,19.0,1808.0,375.0,758.0,320.0,2.0062,INLAND,0.20741150442477876
13054,-121.27,38.62,13.0,2321.0,539.0,1066.0,497.0,2.7652,INLAND,0.23222748815165878
12320,-116.51,33.89,21.0,1284.0,306.0,537.0,233.0,1.95,INLAND,0.2383177570093458
11550,-117.98,33.75,24.0,3865.0,802.0,2670.0,772.0,3.8158,<1H OCEAN,0.207503234152652
16840,-122.46,37.63,22.0,6728.0,1382.0,3783.0,1310.0,5.0479,NEAR OCEAN,0.205410225921522
4825,-118.31,34.04,29.0,2038.0,578.0,2070.0,570.0,2.0658,<1H OCEAN,0.28361138370951916
13941,-117.18,34.3,33.0,399.0,87.0,71.0,27.0,1.875,INLAND,0.21804511278195488
12934,-121.24,38.66,14.0,3335.0,440.0,1329.0,429.0,6.2082,INLAND,0.13193403298350825
20218,-119.24,34.28,41.0,1280.0,240.0,608.0,252.0,4.4038,NEAR OCEAN,0.1875
2779,-114.65,32.79,21.0,44.0,33.0,64.0,27.0,0.8571,INLAND,0.75
7652,-118.27,33.83,28.0,2152.0,415.0,1623.0,429.0,4.35,<1H OCEAN,0.1928438661710037
12549,-121.48,38.56,50.0,1587.0,448.0,877.0,380.0,2.0833,INLAND,0.28229363579080025
7596,-118.25,33.89,35.0,1582.0,391.0,1957.0,404.0,2.4537,<1H OCEAN,0.24715549936788875
8019,-118.1,33.84,36.0,690.0,109.0,316.0,104.0,3.7813,<1H OCEAN,0.15797101449275364
16875,-122.41,37.59,40.0,2401.0,383.0,894.0,356.0,5.6493,NEAR OCEAN,0.15951686797167847
5194,-118.26,33.92,40.0,1076.0,244.0,705.0,255.0,1.7986,<1H OCEAN,0.22676579925650558
19432,-121.04,37.66,11.0,1658.0,301.0,913.0,298.0,4.1705,INLAND,0.18154402895054284
6854,-118.15,34.07,40.0,1072.0,204.0,940.0,200.0,3.125,<1H OCEAN,0.19029850746268656
13129,-121.31,38.26,22.0,1768.0,396.0,1005.0,420.0,1.8846,INLAND,0.2239819004524887
3069,-119.25,35.75,36.0,1598.0,443.0,1658.0,417.0,1.517,INLAND,0.2772215269086358
16174,-122.36,37.72,10.0,479.0,125.0,355.0,108.0,2.7083,NEAR BAY,0.2609603340292276
2771,-115.9,33.34,19.0,1210.0,248.0,329.0,155.0,1.7857,INLAND,0.2049586776859504
16220,-121.35,37.97,33.0,3656.0,681.0,1698.0,671.0,3.1406,INLAND,0.1862691466083151
11764,-121.27,38.72,6.0,4664.0,644.0,2105.0,663.0,6.0804,INLAND,0.13807890222984562
17319,-120.12,34.6,10.0,2426.0,426.0,966.0,419.0,5.5106,NEAR OCEAN,0.1755976916735367
14598,-117.18,32.81,19.0,6823.0,1509.0,3784.0,1509.0,3.1032,NEAR OCEAN,0.22116371097757584
20288,-119.17,34.17,25.0,1596.0,321.0,1378.0,308.0,4.0074,NEAR OCEAN,0.20112781954887218
944,-122.02,37.53,21.0,4280.0,673.0,2216.0,681.0,5.7072,NEAR BAY,0.1572429906542056
14014,-117.18,32.75,36.0,2282.0,534.0,918.0,531.0,2.7222,NEAR OCEAN,0.23400525854513585
17670,-121.87,37.3,28.0,859.0,199.0,455.0,211.0,2.3293,<1H OCEAN,0.23166472642607683
4066,-118.47,34.16,30.0,3823.0,740.0,1449.0,612.0,4.6,<1H OCEAN,0.19356526288255296
15300,-117.36,33.18,26.0,5550.0,1153.0,2372.0,1058.0,2.5509,NEAR OCEAN,0.20774774774774774
11464,-117.99,33.67,17.0,1692.0,427.0,903.0,423.0,3.5859,<1H OCEAN,0.25236406619385343
11999,-117.56,33.94,6.0,575.0,73.0,318.0,88.0,7.0215,INLAND,0.12695652173913044
8670,-118.37,33.82,32.0,2815.0,607.0,1338.0,609.0,4.5687,<1H OCEAN,0.21563055062166964
17824,-121.89,37.39,2.0,1136.0,365.0,535.0,257.0,4.375,<1H OCEAN,0.32130281690140844
1120,-121.59,39.77,24.0,1535.0,276.0,664.0,273.0,2.3068,INLAND,0.17980456026058633
18334,-122.16,37.45,37.0,2926.0,874.0,1363.0,815.0,4.5987,NEAR BAY,0.2987012987012987
6001,-117.75,34.09,36.0,3094.0,556.0,1672.0,545.0,4.2143,INLAND,0.17970265029088558
8502,-118.3,33.87,27.0,3144.0,722.0,1510.0,680.0,3.1597,<1H OCEAN,0.2296437659033079
931,-122.04,37.54,26.0,2145.0,369.0,1285.0,377.0,4.9464,NEAR BAY,0.17202797202797201
7173,-118.19,34.05,42.0,1291.0,345.0,1535.0,332.0,1.9083,<1H OCEAN,0.26723470178156467
146,-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,6.5217,NEAR BAY,0.16996448503297817
13956,-117.06,34.17,21.0,2520.0,582.0,416.0,151.0,2.712,INLAND,0.23095238095238096
12356,-116.57,33.76,25.0,2616.0,547.0,581.0,343.0,3.1364,INLAND,0.2090978593272171
15704,-122.43,37.79,52.0,3219.0,969.0,1152.0,830.0,4.2042,NEAR BAY,0.30102516309412863
2431,-119.59,36.64,27.0,823.0,171.0,798.0,200.0,3.0521,INLAND,0.2077764277035237
19247,-122.73,38.47,16.0,1834.0,391.0,994.0,390.0,3.7266,<1H OCEAN,0.21319520174482007
7956,-118.17,33.88,29.0,815.0,206.0,590.0,183.0,3.0052,<1H OCEAN,0.252760736196319
18197,-122.0,37.39,36.0,1236.0,229.0,880.0,247.0,5.791,<1H OCEAN,0.18527508090614886
18556,-122.04,36.95,36.0,1862.0,364.0,1080.0,364.0,4.4567,NEAR OCEAN,0.19548872180451127
10485,-117.68,33.47,7.0,4458.0,731.0,1731.0,704.0,6.126,<1H OCEAN,0.16397487662628982
12155,-117.22,33.66,12.0,1869.0,356.0,1007.0,323.0,3.125,<1H OCEAN,0.19047619047619047
16534,-121.2,37.78,4.0,58.0,29.0,79.0,29.0,3.375,INLAND,0.5
9131,-118.02,34.57,4.0,10655.0,1706.0,5391.0,1529.0,5.083,INLAND,0.16011262318160488
2687,-115.55,32.98,33.0,2266.0,365.0,952.0,360.0,5.4349,INLAND,0.16107678729037953
1233,-120.34,38.23,10.0,3757.0,722.0,546.0,223.0,3.75,INLAND,0.19217460739952089
13370,-117.54,34.12,4.0,17577.0,2819.0,7766.0,2473.0,5.1333,INLAND,0.16038004210047221
1951,-120.84,38.73,17.0,2616.0,492.0,1158.0,457.0,2.8807,INLAND,0.18807339449541285
2064,-119.8,36.68,31.0,2214.0,432.0,1326.0,416.0,2.1691,INLAND,0.1951219512195122
19825,-119.43,36.55,27.0,1621.0,323.0,882.0,324.0,2.75,INLAND,0.19925971622455274
19238,-122.62,38.54,24.0,2409.0,464.0,1006.0,403.0,4.5167,<1H OCEAN,0.19261104192611042
3,-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,NEAR BAY,0.18445839874411302
16953,-122.32,37.52,17.0,6645.0,1034.0,2557.0,1032.0,6.3892,NEAR OCEAN,0.15560571858540256
15183,-117.15,33.02,4.0,15029.0,2279.0,5613.0,1696.0,7.2731,NEAR OCEAN,0.15164016235278463
6652,-118.14,34.15,17.0,1896.0,674.0,971.0,652.0,0.8438,<1H OCEAN,0.35548523206751054
8330,-118.3,33.93,35.0,1300.0,356.0,1216.0,326.0,1.2,<1H OCEAN,0.27384615384615385
17157,-122.21,37.43,20.0,975.0,134.0,324.0,146.0,9.7796,NEAR OCEAN,0.13743589743589743
5173,-118.27,33.95,40.0,935.0,226.0,818.0,236.0,1.8798,<1H OCEAN,0.24171122994652405
5976,-117.77,34.11,28.0,1998.0,414.0,1124.0,389.0,3.75,INLAND,0.2072072072072072
9748,-121.62,36.69,11.0,4712.0,1098.0,5982.0,1105.0,2.5986,<1H OCEAN,0.23302207130730052
3193,-119.72,36.32,40.0,1185.0,221.0,676.0,256.0,2.2721,INLAND,0.18649789029535865
